ring_id,vertex_id,x,y
0,0,-1.54499e+06,-261858
0,1,-1.54505e+06,-266956
0,2,-1.54929e+06,-259177
0,3,-1.55014e+06,-260821
0,4,-1.54658e+06,-269357
0,5,-1.54895e+06,-270816
0,6,-1.55179e+06,-275401
0,7,-1.55579e+06,-278355
0,8,-1.55462e+06,-285577
0,9,-1.55631e+06,-290541
0,10,-1.55974e+06,-295153
0,11,-1.56032e+06,-299499
0,12,-1.56671e+06,-297655
0,13,-1.57543e+06,-299063
0,14,-1.57691e+06,-297203
0,15,-1.5809e+06,-298956
0,16,-1.58388e+06,-294891
0,17,-1.58343e+06,-299422
0,18,-1.58663e+06,-296972
0,19,-1.5888e+06,-300647
0,20,-1.58941e+06,-298417
0,21,-1.59659e+06,-296239
0,22,-1.59618e+06,-297917
0,23,-1.59429e+06,-298263
0,24,-1.59211e+06,-303717
0,25,-1.59334e+06,-306199
0,26,-1.59068e+06,-310135
0,27,-1.58763e+06,-309254
0,28,-1.58558e+06,-311151
0,29,-1.5863e+06,-304624
0,30,-1.58252e+06,-303423
0,31,-1.57643e+06,-298992
0,32,-1.57603e+06,-300687
0,33,-1.57031e+06,-298288
0,34,-1.56833e+06,-300757
0,35,-1.56808e+06,-304573
0,36,-1.56377e+06,-308608
0,37,-1.56614e+06,-313522
0,38,-1.56066e+06,-308452
0,39,-1.56116e+06,-305556
0,40,-1.55916e+06,-308243
0,41,-1.55694e+06,-303543
0,42,-1.55276e+06,-307748
0,43,-1.55413e+06,-309171
0,44,-1.55149e+06,-310420
0,45,-1.5541e+06,-310515
0,46,-1.55408e+06,-315859
0,47,-1.55085e+06,-315926
0,48,-1.54757e+06,-320660
0,49,-1.54053e+06,-319460
0,50,-1.53782e+06,-320648
0,51,-1.53387e+06,-314314
0,52,-1.53332e+06,-311614
0,53,-1.52777e+06,-301865
0,54,-1.52594e+06,-304286
0,55,-1.52279e+06,-302364
0,56,-1.52366e+06,-305402
0,57,-1.52233e+06,-305867
0,58,-1.52382e+06,-311140
0,59,-1.52218e+06,-312323
0,60,-1.52089e+06,-310560
0,61,-1.51821e+06,-311200
0,62,-1.51849e+06,-315509
0,63,-1.51621e+06,-316248
0,64,-1.51636e+06,-320550
0,65,-1.50993e+06,-322839
0,66,-1.50839e+06,-327246
0,67,-1.50935e+06,-322744
0,68,-1.51604e+06,-320722
0,69,-1.51598e+06,-316154
0,70,-1.51815e+06,-315474
0,71,-1.51821e+06,-310505
0,72,-1.52301e+06,-310871
0,73,-1.52098e+06,-306275
0,74,-1.52311e+06,-303835
0,75,-1.52183e+06,-300906
0,76,-1.52214e+06,-296532
0,77,-1.5237e+06,-298848
0,78,-1.52357e+06,-301943
0,79,-1.5274e+06,-301422
0,80,-1.53081e+06,-305804
0,81,-1.53209e+06,-305764
0,82,-1.53766e+06,-312973
0,83,-1.53836e+06,-318547
0,84,-1.54555e+06,-319970
0,85,-1.54587e+06,-317644
0,86,-1.54831e+06,-318081
0,87,-1.54733e+06,-314356
0,88,-1.55009e+06,-312681
0,89,-1.5492e+06,-309576
0,90,-1.55449e+06,-300321
0,91,-1.55495e+06,-295279
0,92,-1.55303e+06,-290935
0,93,-1.55035e+06,-279810
0,94,-1.54691e+06,-275187
0,95,-1.54408e+06,-272972
0,96,-1.54489e+06,-264901
0,97,-1.54269e+06,-262549
0,98,-1.54352e+06,-258287
Total signed area in input: 5.540650e+08
Total signed area in output: 5.540650e+08
Total areal displacement: 2.337003e+08
