ring_id,vertex_id,x,y
0,0,1.9026e+06,712329
0,1,1.90202e+06,713858
0,2,1.90179e+06,713633
0,3,1.90118e+06,714878
0,4,1.90166e+06,715662
0,5,1.90157e+06,716391
0,6,1.90129e+06,716393
0,7,1.9014e+06,717733
0,8,1.90109e+06,717962
0,9,1.90147e+06,718336
0,10,1.90063e+06,718709
0,11,1.89968e+06,718619
0,12,1.89977e+06,718995
0,13,1.89906e+06,719220
0,14,1.89877e+06,720468
0,15,1.89863e+06,720150
0,16,1.89897e+06,718704
0,17,1.89838e+06,718893
0,18,1.89806e+06,717929
0,19,1.89695e+06,717892
0,20,1.89653e+06,718720
0,21,1.89624e+06,717914
0,22,1.89467e+06,717827
0,23,1.89481e+06,718345
0,24,1.89378e+06,718474
0,25,1.89263e+06,720115
0,26,1.89184e+06,721727
0,27,1.89195e+06,720582
0,28,1.89441e+06,717315
0,29,1.89436e+06,715954
0,30,1.89344e+06,714130
0,31,1.89359e+06,713336
0,32,1.89408e+06,713368
0,33,1.89376e+06,712543
0,34,1.89398e+06,711569
0,35,1.89443e+06,710936
0,36,1.89406e+06,710586
0,37,1.89452e+06,710720
0,38,1.89514e+06,709339
0,39,1.89715e+06,708406
0,40,1.89944e+06,707895
0,41,1.90061e+06,708352
0,42,1.90093e+06,707755
0,43,1.90124e+06,707705
0,44,1.90173e+06,707013
0,45,1.90228e+06,707166
0,46,1.90185e+06,706585
0,47,1.90248e+06,706033
0,48,1.90211e+06,705321
0,49,1.90328e+06,704656
0,50,1.90391e+06,704995
0,51,1.90446e+06,704225
0,52,1.90423e+06,703850
0,53,1.90407e+06,704224
0,54,1.9034e+06,703311
0,55,1.90246e+06,703599
0,56,1.90334e+06,702779
0,57,1.90399e+06,703680
0,58,1.90477e+06,702079
0,59,1.90582e+06,702358
0,60,1.90576e+06,702729
0,61,1.90649e+06,703724
0,62,1.90592e+06,704133
0,63,1.90593e+06,705568
0,64,1.90571e+06,706329
0,65,1.90605e+06,706671
0,66,1.90624e+06,707574
0,67,1.90557e+06,710332
0,68,1.90581e+06,711326
0,69,1.90577e+06,712472
0,70,1.90645e+06,712286
0,71,1.90699e+06,712916
0,72,1.90665e+06,711890
0,73,1.90708e+06,711739
0,74,1.90794e+06,710503
0,75,1.90791e+06,711848
0,76,1.90738e+06,712604
0,77,1.9068e+06,712788
0,78,1.90617e+06,713824
0,79,1.90579e+06,715972
0,80,1.90471e+06,716379
0,81,1.90512e+06,717483
0,82,1.90564e+06,717586
0,83,1.90498e+06,717960
0,84,1.9044e+06,718909
0,85,1.9037e+06,717462
0,86,1.90329e+06,717789
0,87,1.90302e+06,717090
0,88,1.90237e+06,717762
0,89,1.90278e+06,716842
0,90,1.9026e+06,716228
0,91,1.90282e+06,714329
0,92,1.90254e+06,713710
0,93,1.90294e+06,714096
0,94,1.90365e+06,712913
0,95,1.90365e+06,713757
0,96,1.90426e+06,713004
0,97,1.9041e+06,712215
0,98,1.90462e+06,711551
Total signed area in input: 1.277306e+08
Total signed area in output: 1.277306e+08
Total areal displacement: 9.631710e+06
