ring_id,vertex_id,x,y
0,0,228147,-251001
0,1,227063,-250812
0,2,226901,-251967
0,3,226127,-251758
0,4,226536,-250232
0,5,228714,-249203
0,6,227726,-249376
0,7,227418,-248674
0,8,226240,-248997
0,9,225796,-246339
0,10,224065,-246090
0,11,222942,-249068
0,12,223745,-246442
0,13,223306,-245091
0,14,224033,-245972
0,15,224508,-245250
0,16,223943,-245669
0,17,224078,-244312
0,18,222605,-243876
0,19,221975,-244784
0,20,222377,-245417
0,21,220931,-244999
0,22,220871,-246477
0,23,221269,-246921
0,24,220564,-247451
0,25,220231,-246790
0,26,219094,-246230
0,27,218237,-246743
0,28,217644,-248333
0,29,216789,-248572
0,30,218015,-248722
0,31,219210,-248233
0,32,218544,-249346
0,33,219194,-250737
0,34,218110,-250897
0,35,217983,-251346
0,36,218642,-251097
0,37,218921,-251852
0,38,218373,-252491
0,39,219005,-252270
0,40,219678,-253827
0,41,218888,-253325
0,42,218169,-253643
0,43,217638,-255556
0,44,218061,-255819
0,45,216562,-257100
0,46,216583,-257769
0,47,217596,-257776
0,48,218317,-259320
0,49,216023,-259343
0,50,218403,-259668
0,51,218127,-257906
0,52,216626,-257415
0,53,218025,-256125
0,54,219042,-258258
0,55,219372,-257934
0,56,218593,-256752
0,57,219386,-255800
0,58,219723,-257009
0,59,219842,-255676
0,60,218413,-255861
0,61,218322,-253904
0,62,219857,-254421
0,63,220280,-253592
0,64,219352,-251481
0,65,220130,-251707
0,66,219794,-249969
0,67,219142,-249545
0,68,219513,-248311
0,69,219175,-247470
0,70,220319,-248283
0,71,221460,-248051
0,72,221917,-248839
0,73,223710,-250147
0,74,222143,-248447
0,75,221817,-247355
0,76,222134,-246324
0,77,223055,-245621
0,78,222778,-247924
0,79,223767,-248332
0,80,224418,-246745
0,81,225511,-246909
0,82,224620,-247893
0,83,225591,-247931
0,84,225709,-248742
0,85,226283,-249509
0,86,227456,-249329
0,87,226017,-250064
0,88,225695,-251316
0,89,226089,-252454
0,90,227172,-251973
0,91,227563,-250865
0,92,227507,-252264
0,93,226657,-253044
0,94,226287,-254186
0,95,227617,-253973
0,96,226244,-253960
0,97,227076,-252882
0,98,227649,-252721
Total signed area in input: 3.115586e+07
Total signed area in output: 3.115586e+07
Total areal displacement: 1.473385e+07
